Timestamp,Gender,Date_Of_Birth,Age,Age_Group,Aptitude,Parents_Education_Encoded,Family_Lifestyle_Encoded,Math,English,Bio,Chemistry,Physics,ICT,Business,Average_Score,if_HS_Student,Study_Method,Study_Habit,English_Proficiency,IELTS_Score,Favorite_Subject,Career_Interest,Personality_Trait,Address,Study_Country,Chosen_University,Influence,Building miniatures / models,DIY projects,Debate / Public Speaking,Hackathons / App development projects,Programming / coding clubs,Science clubs,Student Council / Leadership Roles,"Volunteering at hospitals, clinics, or NGOs",DIY / Project recognition,Debate / Public Speaking awards,Hackathon / App competition prize,Model building recognition,Other (please specify),Programming / Coding award,Science fair / Olympiad prize,Student Council / Leadership role,Volunteering recognition
2025/10/01 1:57:57 PM GMT+6:30,Male,2009-03-05,16.0,15-to-20,9–10 → Exceptional aptitude,1,2.0,85.0,55.0,73.0,77.0,79.0,90.0,93.0,78.85714285714286,no,Self-study,1–2 hours,Intermediate,0.0,Math,3,ISFP,Mandalay,Singapore,,Internal,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 2:00:07 PM GMT+6:30,Female,1992-02-02,17.0,15-to-20,9–10 → Exceptional aptitude,1,1.0,87.0,75.0,76.0,84.0,84.0,0.0,0.0,81.2,no,Tuition / Extra Classes,3–4 hours,Intermediate,6.0,Science,2,ISTJ,Taunggyi,Thailand,Khon Kaen University ,External,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 2:03:23 PM GMT+6:30,Male,2009-10-03,16.0,15-to-20,4–6 → Medium aptitude,1,1.0,75.0,80.0,60.0,70.0,70.0,70.0,0.0,70.83333333333333,no,Self-study,1–2 hours,Intermediate,6.0,Math,3,INTJ,USM,Canada,UBC,Internal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025/10/01 2:05:24 PM GMT+6:30,Male,2008-04-08,17.0,15-to-20,9–10 → Exceptional aptitude,1,2.0,75.0,80.0,0.0,0.0,0.0,85.0,75.0,78.75,yes,Self-study,1–2 hours,Intermediate,5.5,Business,0,INTJ,Mandalay,UK;Singapore,,Internal,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
2025/10/01 2:08:55 PM GMT+6:30,Female,2010-12-31,15.0,10-to-15,4–6 → Medium aptitude,1,1.0,85.0,86.0,0.0,0.0,0.0,55.0,0.0,75.33333333333333,yes,Self-study,3–4 hours,Intermediate,0.0,Business,2,INFJ,Mandalay,UK;USA;Canada;Thailand,not yet,External,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2025/10/01 3:08:34 PM GMT+6:30,Female,2009-08-03,16.0,15-to-20,7–8 → High aptitude,1,0.0,62.0,73.0,88.0,77.0,67.0,79.0,80.0,75.14285714285714,yes,Self-study,1–2 hours,Intermediate,0.0,English,2,ENTP,Mandalay,Canada;Singapore,NUS,External,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025/10/01 3:47:35 PM GMT+6:30,Female,1998-07-03,27.0,20-to-30,9–10 → Exceptional aptitude,0,1.0,85.0,73.0,86.0,81.0,77.0,0.0,0.0,80.4,no,Tuition / Extra Classes,1–2 hours,Intermediate,0.0,English,1,ISFJ,Yangon,UK;Canada,-,Internal,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1
2025/10/01 3:50:04 PM GMT+6:30,Female,1995-10-17,30.0,20-to-30,9–10 → Exceptional aptitude,0,2.0,70.0,50.0,0.0,69.0,62.0,0.0,79.0,66.0,no,Tuition / Extra Classes,3–4 hours,Intermediate,0.0,Math,1,ISFJ,"Kyonmange, Wakema Township",Canada;Singapore;Thailand,,Internal,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 5:18:08 PM GMT+6:30,Male,2007-09-06,18.0,15-to-20,9–10 → Exceptional aptitude,1,0.0,98.0,95.0,0.0,0.0,94.0,96.0,98.0,96.2,yes,Self-study,1–2 hours,Intermediate,0.0,ICT,1,INFP,Mandalay ,UK,Not UK Acutally ,External,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 5:41:54 PM GMT+6:30,Female,2008-11-27,17.0,15-to-20,7–8 → High aptitude,1,1.0,65.0,75.0,60.0,89.0,70.0,70.0,85.0,73.42857142857143,yes,Self-study,2–3 hours,Intermediate,0.0,English,3,ENFJ,"thaton ,mon state",UK;Canada;Singapore,"NUS, and middlex",External,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 6:15:43 PM GMT+6:30,Male,2010-01-03,15.0,10-to-15,9–10 → Exceptional aptitude,1,1.0,88.0,80.0,78.0,85.0,70.0,90.0,0.0,81.83333333333333,yes,Self-study,1–2 hours,Advanced,0.0,Science,2,ISTP,Monywa,Singapore,,Internal,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2025/10/01 6:31:33 PM GMT+6:30,Female,2007-09-07,18.0,15-to-20,9–10 → Exceptional aptitude,1,2.0,88.0,93.0,99.0,96.0,99.0,95.0,0.0,95.0,yes,Self-study,1–2 hours,Intermediate,0.0,Physics,1,INFJ,Yangon(I am an online student.),Canada;Singapore,,External,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 7:43:12 PM GMT+6:30,Male,2011-01-18,14.0,10-to-15,9–10 → Exceptional aptitude,1,1.0,90.0,85.0,0.0,0.0,0.0,0.0,0.0,87.5,no,Self-study,1–2 hours,Intermediate,0.0,Science,0,INTP,Mandalay,UK;USA,I would like to attend a university that may help me to be a scientist ,Internal,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
2025/10/01 8:50:08 PM GMT+6:30,Male,2007-08-10,18.0,15-to-20,9–10 → Exceptional aptitude,1,2.0,90.0,93.0,0.0,0.0,0.0,0.0,0.0,91.5,yes,Self-study,2–3 hours,Intermediate,0.0,Math,0,ESTJ,Mandalay,UK;USA,,Internal,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2025/10/01 8:56:41 PM GMT+6:30,Female,2025-10-01,17.0,15-to-20,4–6 → Medium aptitude,1,1.0,52.0,58.0,73.0,61.0,56.0,0.0,0.0,60.0,no,Self-study,1–2 hours,Beginner,0.0,English,0,ISFP,Yadanabon university ,UK,,Internal,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025/10/01 9:38:54 PM GMT+6:30,Female,2008-07-01,17.0,15-to-20,7–8 → High aptitude,1,1.0,85.0,70.0,85.0,75.0,90.0,90.0,0.0,82.5,yes,Self-study,3–4 hours,Advanced,0.0,Science,2,ISTJ,yangon,UK,NUMed,Internal,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
